pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
org.sipdroid.net.impl;org.sipdroid.net.impl.PlainDatagramSocketImpl;23;2;1;1;71;0;1;20
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.CallerInfoAsyncQuery;8;1;1;9;21;8;1;3
org.sipdroid.net;org.sipdroid.net.RtpSocket;6;1;1;2;19;0;1;6
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.Checkin$1;2;2;1;10;27;0;1;1
org.zoolu.sip.call;org.zoolu.sip.call.ExtendedCall;16;2;1;12;48;0;1;15
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.PhoneUtils$1;2;1;1;3;4;1;1;1
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.OwnWifi;2;2;1;4;4;1;1;2
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.RegisterService;5;4;1;10;18;8;1;5
org.zoolu.sip.dialog;org.zoolu.sip.dialog.SubscriberDialog;20;3;1;23;68;100;1;17
com.jstun.core.attribute;com.jstun.core.attribute.Username;6;2;1;4;13;9;1;6
org.zoolu.sip.header;org.zoolu.sip.header.ReferToHeader;3;4;1;4;6;3;1;3
org.sipdroid.media;org.sipdroid.media.RtpStreamReceiver;34;2;1;11;35;561;1;16
org.zoolu.sip.header;org.zoolu.sip.header.SubscriptionStateHeader;13;3;1;3;23;76;1;12
org.zoolu.sip.transaction;org.zoolu.sip.transaction.InviteTransactionClient;6;3;1;13;34;0;1;5
org.sipdroid.media;org.sipdroid.media.Bluetooth;5;1;1;6;17;8;1;5
org.zoolu.sip.message;org.zoolu.sip.message.BaseMessageFactory;15;1;1;22;128;105;1;15
org.zoolu.sip.transaction;org.zoolu.sip.transaction.TransactionServerListener;1;1;1;2;1;0;1;1
org.zoolu.sip.header;org.zoolu.sip.header.RecordRouteHeader;2;4;1;3;4;1;1;2
org.zoolu.sip.message;org.zoolu.sip.message.BaseMessage;184;1;1;39;296;15982;1;171
com.jstun.core.attribute;com.jstun.core.attribute.UnknownAttribute;4;2;1;5;18;0;1;4
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.Caller$1;2;2;1;4;9;0;1;1
com.jstun.core.attribute;com.jstun.core.attribute.Password;6;2;1;4;13;9;1;6
org.zoolu.tools;org.zoolu.tools.Log;14;1;1;2;32;65;1;12
org.zoolu.sip.header;org.zoolu.sip.header.RequireHeader;2;3;1;2;4;1;1;2
org.sipdroid.sipua;org.sipdroid.sipua.UserAgent;65;2;1;30;156;918;1;40
